,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
MYC123.fa,GCA_000069185.1.fa,14.30,[11.4 - 17.6%],0.9110,0,19.70,[17.5 - 22.1%],0.2235,0,14.50,[12 - 17.3%],0.9309,0,3.75
MYC123.fa,GCF_000014985.1.fa,19.80,[16.6 - 23.4%],0.7181,0,21.00,[18.8 - 23.4%],0.2092,0,19.10,[16.4 - 22.1%],0.7770,0,1.09
MYC123.fa,GCF_000157895.3.fa,16.00,[13 - 19.4%],0.8406,0,20.00,[17.8 - 22.4%],0.2202,0,15.90,[13.4 - 18.8%],0.8757,0,1.66
MYC123.fa,GCF_000195955.2.fa,15.80,[12.9 - 19.3%],0.8452,0,19.90,[17.7 - 22.4%],0.2204,0,15.80,[13.3 - 18.7%],0.8793,0,2.28
MYC123.fa,GCF_000214155.1.fa,51.50,[48 - 54.9%],0.2961,15.45,26.40,[24.1 - 28.9%],0.1639,0.02,43.50,[40.5 - 46.5%],0.4115,0.44,0.48
MYC123.fa,GCF_001021505.1.fa,46.50,[43.1 - 49.9%],0.3345,6.65,26.60,[24.2 - 29.1%],0.1629,0.02,40.20,[37.2 - 43.2%],0.4429,0.15,0.03
MYC123.fa,GCF_001044245.1.fa,16.40,[13.4 - 19.9%],0.8252,0,19.90,[17.7 - 22.3%],0.2209,0,16.30,[13.7 - 19.2%],0.8638,0,0.07
MYC123.fa,GCF_001307545.1.fa,16.60,[13.6 - 20.1%],0.8173,0,20.20,[18 - 22.7%],0.2171,0,16.50,[13.9 - 19.4%],0.8570,0,1.67
MYC123.fa,GCF_002086285.1.fa,49.20,[45.8 - 52.7%],0.3126,10.87,26.80,[24.5 - 29.3%],0.1612,0.02,42.20,[39.2 - 45.2%],0.4233,0.29,0.22
MYC123.fa,GCF_002086405.1.fa,39.20,[35.8 - 42.6%],0.4007,1.38,24.40,[22.1 - 26.8%],0.1790,0.01,34.20,[31.3 - 37.3%],0.5080,0.01,0.78
MYC123.fa,GCF_002086455.1.fa,50.20,[46.8 - 53.7%],0.3052,12.76,26.50,[24.2 - 29%],0.1633,0.02,42.70,[39.7 - 45.8%],0.4186,0.34,0.44
MYC123.fa,GCF_002086515.1.fa,39.10,[35.7 - 42.6%],0.4014,1.36,24.90,[22.6 - 27.4%],0.1748,0.01,34.40,[31.5 - 37.5%],0.5061,0.02,0.51
MYC123.fa,GCF_002086715.1.fa,14.90,[12 - 18.3%],0.8848,0,19.90,[17.7 - 22.3%],0.2212,0,15.00,[12.5 - 17.9%],0.9103,0,3.31
MYC123.fa,GCF_002101585.1.fa,42.20,[38.8 - 45.6%],0.3714,2.8,25.00,[22.7 - 27.5%],0.1741,0.01,36.60,[33.6 - 39.6%],0.4808,0.04,0.65
MYC123.fa,GCF_002101655.1.fa,41.20,[37.8 - 44.6%],0.3812,2.21,24.80,[22.5 - 27.3%],0.1756,0.01,35.80,[32.8 - 38.8%],0.4898,0.03,0.64
MYC123.fa,GCF_002101775.1.fa,44.20,[40.8 - 47.6%],0.3536,4.27,25.40,[23 - 27.8%],0.1715,0.01,38.10,[35.1 - 41.1%],0.4644,0.07,0.13
MYC123.fa,GCF_002101885.1.fa,51.30,[47.8 - 54.7%],0.2973,15.06,26.50,[24.2 - 29%],0.1631,0.02,43.50,[40.5 - 46.5%],0.4119,0.43,0.79
MYC123.fa,GCF_002101955.1.fa,51.30,[47.8 - 54.7%],0.2976,14.97,26.90,[24.5 - 29.4%],0.1610,0.02,43.60,[40.6 - 46.6%],0.4107,0.45,0.55
MYC123.fa,GCF_002102055.1.fa,14.50,[11.6 - 17.9%],0.9013,0,19.20,[17 - 21.6%],0.2292,0,14.60,[12.2 - 17.5%],0.9239,0,3.97
MYC123.fa,GCF_002102265.1.fa,47.70,[44.3 - 51.1%],0.3247,8.31,27.80,[25.4 - 30.3%],0.1552,0.04,41.60,[38.6 - 44.6%],0.4295,0.23,0.03
MYC123.fa,GCF_002102395.1.fa,23.20,[19.9 - 26.8%],0.6348,0,21.00,[18.8 - 23.4%],0.2091,0,21.80,[19 - 24.9%],0.7112,0,2.39
MYC123.fa,GCF_002104795.1.fa,21.20,[17.9 - 24.8%],0.6818,0,20.80,[18.5 - 23.2%],0.2115,0,20.20,[17.5 - 23.2%],0.7491,0,1.46
MYC123.fa,GCF_002967035.1.fa,46.90,[43.5 - 50.3%],0.3311,7.19,26.70,[24.4 - 29.2%],0.1621,0.02,40.50,[37.6 - 43.6%],0.4395,0.16,0.65
MYC123.fa,GCF_004721035.1.fa,16.80,[13.8 - 20.3%],0.8109,0,20.00,[17.8 - 22.4%],0.2196,0,16.60,[14 - 19.5%],0.8525,0,1.48
MYC123.fa,GCF_018455725.1.fa,33.00,[29.6 - 36.5%],0.4718,0.24,23.70,[21.4 - 26.2%],0.1841,0,29.70,[26.7 - 32.8%],0.5691,0,1.23
MYC123.fa,GCF_022430545.2.fa,17.10,[14 - 20.6%],0.8008,0,20.60,[18.4 - 23%],0.2130,0,16.90,[14.3 - 19.8%],0.8432,0,2.35
MYC123.fa,GCF_900078685.1.fa,40.60,[37.3 - 44.1%],0.3863,1.96,26.50,[24.1 - 29%],0.1637,0.02,36.00,[33.1 - 39.1%],0.4867,0.03,1.06
MYC123.fa,MYC17.fa,70.50,[66.5 - 74.1%],0.1811,75.41,56.20,[53.4 - 58.9%],0.0586,39.11,69.50,[66.1 - 72.8%],0.2291,72.14,0.17
MYC123.fa,MYC98.fa,53.00,[49.5 - 56.4%],0.2855,19.14,30.50,[28.1 - 33%],0.1393,0.13,46.60,[43.5 - 49.6%],0.3850,1.09,0.05
MYC123.fa,MYC101.fa,83.80,[80 - 87%],0.1133,94.18,87.90,[85.4 - 90%],0.0144,95.04,87.40,[84.4 - 89.9%],0.1261,98.96,0.17
MYC123.fa,MYC340.fa,49.00,[45.6 - 52.4%],0.3146,10.4,30.70,[28.3 - 33.2%],0.1385,0.14,43.70,[40.7 - 46.8%],0.4095,0.47,0.26
