,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
MYC101.fa,GCA_000069185.1.fa,14.20,[11.4 - 17.6%],0.9123,0,19.70,[17.5 - 22.1%],0.2232,0,14.40,[12 - 17.3%],0.9319,0,3.58
MYC101.fa,GCF_000014985.1.fa,19.90,[16.7 - 23.5%],0.7141,0,20.90,[18.7 - 23.3%],0.2102,0,19.20,[16.5 - 22.3%],0.7742,0,1.26
MYC101.fa,GCF_000157895.3.fa,15.90,[12.9 - 19.3%],0.8443,0,20.00,[17.8 - 22.4%],0.2198,0,15.80,[13.3 - 18.8%],0.8785,0,1.50
MYC101.fa,GCF_000195955.2.fa,15.80,[12.9 - 19.3%],0.8454,0,20.00,[17.7 - 22.4%],0.2203,0,15.80,[13.3 - 18.7%],0.8795,0,2.11
MYC101.fa,GCF_000214155.1.fa,48.70,[45.2 - 52.1%],0.3170,9.86,26.50,[24.2 - 29%],0.1632,0.02,41.70,[38.7 - 44.7%],0.4285,0.24,0.65
MYC101.fa,GCF_001021505.1.fa,44.90,[41.5 - 48.3%],0.3473,4.95,26.60,[24.2 - 29.1%],0.1628,0.02,39.10,[36.2 - 42.2%],0.4536,0.1,0.14
MYC101.fa,GCF_001044245.1.fa,16.20,[13.3 - 19.7%],0.8302,0,19.70,[17.5 - 22.1%],0.2229,0,16.10,[13.6 - 19.1%],0.8680,0,0.24
MYC101.fa,GCF_001307545.1.fa,16.60,[13.6 - 20.1%],0.8189,0,20.30,[18.1 - 22.7%],0.2164,0,16.40,[13.9 - 19.4%],0.8581,0,1.51
MYC101.fa,GCF_002086285.1.fa,48.00,[44.6 - 51.5%],0.3218,8.87,26.90,[24.5 - 29.3%],0.1611,0.02,41.40,[38.4 - 44.4%],0.4310,0.22,0.39
MYC101.fa,GCF_002086405.1.fa,37.30,[33.9 - 40.8%],0.4207,0.85,24.50,[22.2 - 26.9%],0.1783,0.01,33.00,[30 - 36%],0.5239,0.01,0.61
MYC101.fa,GCF_002086455.1.fa,49.00,[45.6 - 52.4%],0.3144,10.45,26.60,[24.3 - 29.1%],0.1626,0.02,41.90,[39 - 45%],0.4259,0.26,0.61
MYC101.fa,GCF_002086515.1.fa,37.70,[34.3 - 41.2%],0.4164,0.95,25.10,[22.8 - 27.6%],0.1736,0.01,33.50,[30.5 - 36.5%],0.5177,0.01,0.34
MYC101.fa,GCF_002086715.1.fa,14.70,[11.9 - 18.1%],0.8908,0,19.50,[17.3 - 21.9%],0.2253,0,14.90,[12.4 - 17.7%],0.9154,0,3.15
MYC101.fa,GCF_002101585.1.fa,40.40,[37.1 - 43.9%],0.3883,1.87,25.10,[22.7 - 27.5%],0.1737,0.01,35.40,[32.4 - 38.4%],0.4946,0.02,0.82
MYC101.fa,GCF_002101655.1.fa,40.10,[36.7 - 43.6%],0.3916,1.73,24.80,[22.5 - 27.3%],0.1757,0.01,35.00,[32.1 - 38.1%],0.4985,0.02,0.80
MYC101.fa,GCF_002101775.1.fa,43.00,[39.7 - 46.5%],0.3637,3.36,25.30,[23 - 27.8%],0.1717,0.01,37.30,[34.3 - 40.3%],0.4729,0.05,0.04
MYC101.fa,GCF_002101885.1.fa,49.30,[45.9 - 52.8%],0.3120,11.02,26.60,[24.3 - 29.1%],0.1626,0.02,42.20,[39.2 - 45.2%],0.4238,0.28,0.96
MYC101.fa,GCF_002101955.1.fa,48.90,[45.5 - 52.3%],0.3152,10.26,26.90,[24.6 - 29.4%],0.1606,0.03,42.00,[39 - 45%],0.4252,0.27,0.71
MYC101.fa,GCF_002102055.1.fa,14.40,[11.6 - 17.8%],0.9028,0,19.20,[17 - 21.5%],0.2295,0,14.60,[12.2 - 17.5%],0.9251,0,3.81
MYC101.fa,GCF_002102265.1.fa,45.30,[41.9 - 48.8%],0.3438,5.36,27.60,[25.2 - 30%],0.1565,0.03,39.80,[36.8 - 42.9%],0.4466,0.13,0.19
MYC101.fa,GCF_002102395.1.fa,22.80,[19.5 - 26.5%],0.6427,0,20.90,[18.7 - 23.4%],0.2097,0,21.50,[18.7 - 24.6%],0.7176,0,2.56
MYC101.fa,GCF_002104795.1.fa,20.90,[17.7 - 24.5%],0.6888,0,20.70,[18.5 - 23.1%],0.2121,0,20.00,[17.2 - 23%],0.7548,0,1.63
MYC101.fa,GCF_002967035.1.fa,44.70,[41.4 - 48.2%],0.3488,4.78,26.50,[24.1 - 29%],0.1636,0.02,38.90,[36 - 42%],0.4553,0.09,0.48
MYC101.fa,GCF_004721035.1.fa,16.80,[13.8 - 20.4%],0.8087,0,20.00,[17.8 - 22.4%],0.2194,0,16.70,[14.1 - 19.6%],0.8507,0,1.32
MYC101.fa,GCF_018455725.1.fa,32.70,[29.3 - 36.2%],0.4761,0.22,23.60,[21.3 - 26.1%],0.1848,0,29.40,[26.5 - 32.5%],0.5730,0,1.40
MYC101.fa,GCF_022430545.2.fa,16.90,[13.9 - 20.5%],0.8055,0,20.60,[18.4 - 23%],0.2133,0,16.80,[14.2 - 19.7%],0.8470,0,2.18
MYC101.fa,GCF_900078685.1.fa,38.80,[35.5 - 42.3%],0.4044,1.27,26.60,[24.2 - 29.1%],0.1629,0.02,34.80,[31.8 - 37.9%],0.5014,0.02,0.89
MYC101.fa,MYC17.fa,70.10,[66.2 - 73.8%],0.1828,74.63,58.70,[55.9 - 61.5%],0.0539,47.93,69.90,[66.5 - 73.2%],0.2269,73.67,0.00
MYC101.fa,MYC98.fa,50.20,[46.8 - 53.7%],0.3052,12.76,30.80,[28.4 - 33.3%],0.1380,0.14,44.70,[41.7 - 47.7%],0.4010,0.63,0.12
MYC101.fa,MYC123.fa,83.80,[80 - 87%],0.1133,94.18,87.90,[85.4 - 90%],0.0144,95.04,87.40,[84.4 - 89.9%],0.1261,98.96,0.17
MYC101.fa,MYC340.fa,49.00,[45.6 - 52.4%],0.3146,10.4,30.80,[28.4 - 33.3%],0.1376,0.15,43.80,[40.8 - 46.8%],0.4089,0.48,0.09
